プロジェクトID,工程表ID,工程表の期間,工程表の最終更新日,最終更新ユーザーID,最終更新ユーザー名,工程表の最終更新バージョン
9fb97946-5049-5093-b674-09937561e9f1,1342d36a-a999-5315-ab78-e6cbbf9a981f,2026/09/01-2026/11/30,1788849172,sc000u096697,尾園 正樹,2.0.4.2
項目ID（開始日ノード）,項目名（開始日ノード）,項目に紐づく属性情報区分（エリア・協力会社・工種）,項目に紐づく属性情報ID,項目に紐づく属性情報名,項目ID（終了日ノード）,項目名（終了日ノード）,工程ID,工程削除,工程線名,開始日の行番号,終了日の行番号,開始日,終了日,0.5日,延べ日数,日数,調整日数,休日,開始日ノード色,開始日ノード大きさ,開始日ノード形状,終了日ノード色,終了日ノード大きさ,終了日ノード形状,詳細工程1　詳細工程名,詳細工程1　実働日数,詳細工程1　数量　数値,詳細工程1　数量　単位ID,詳細工程1　数量　単位名,詳細工程1　歩掛　数値,詳細工程1　歩掛　単位ID,詳細工程1　歩掛　単位名,詳細工程1　人数/台数　数値,詳細工程1　人数/台数　単位ID,詳細工程1　人数/台数　単位名,詳細工程1　計算結果の不整合を了承フラグ,詳細工程1　協力会社,詳細工程2　詳細工程名,詳細工程2　実働日数,詳細工程2　数量　数値,詳細工程2　数量　単位ID,詳細工程2　数量　単位名,詳細工程2　歩掛　数値,詳細工程2　歩掛　単位ID,詳細工程2　歩掛　単位名,詳細工程2　人数/台数　数値,詳細工程2　人数/台数　単位ID,詳細工程2　人数/台数　単位名,詳細工程2　計算結果の不整合を了承フラグ,詳細工程2　協力会社,詳細工程3　詳細工程名,詳細工程3　実働日数,詳細工程3　数量　数値,詳細工程3　数量　単位ID,詳細工程3　数量　単位名,詳細工程3　歩掛　数値,詳細工程3　歩掛　単位ID,詳細工程3　歩掛　単位名,詳細工程3　人数/台数　数値,詳細工程3　人数/台数　単位ID,詳細工程3　人数/台数　単位名,詳細工程3　計算結果の不整合を了承フラグ,詳細工程3　協力会社,詳細工程4　詳細工程名,詳細工程4　実働日数,詳細工程4　数量　数値,詳細工程4　数量　単位ID,詳細工程4　数量　単位名,詳細工程4　歩掛　数値,詳細工程4　歩掛　単位ID,詳細工程4　歩掛　単位名,詳細工程4　人数/台数　数値,詳細工程4　人数/台数　単位ID,詳細工程4　人数/台数　単位名,詳細工程4　計算結果の不整合を了承フラグ,詳細工程4　協力会社,詳細工程5　詳細工程名,詳細工程5　実働日数,詳細工程5　数量　数値,詳細工程5　数量　単位ID,詳細工程5　数量　単位名,詳細工程5　歩掛　数値,詳細工程5　歩掛　単位ID,詳細工程5　歩掛　単位名,詳細工程5　人数/台数　数値,詳細工程5　人数/台数　単位ID,詳細工程5　人数/台数　単位名,詳細工程5　計算結果の不整合を了承フラグ,詳細工程5　協力会社,詳細工程6　詳細工程名,詳細工程6　実働日数,詳細工程6　数量　数値,詳細工程6　数量　単位ID,詳細工程6　数量　単位名,詳細工程6　歩掛　数値,詳細工程6　歩掛　単位ID,詳細工程6　歩掛　単位名,詳細工程6　人数/台数　数値,詳細工程6　人数/台数　単位ID,詳細工程6　人数/台数　単位名,詳細工程6　計算結果の不整合を了承フラグ,詳細工程6　協力会社,工種,エリア,開始日ノードの依存タスク（行程ID、依存関係）,終了日ノードの依存タスク（行程ID、依存関係）,開始日ノードの関係線ID,開始日ノードの関係線名,終了日ノードの関係線ID,終了日ノードの関係線名,工程線の形状,工程線の矢印,実線・点線,工程線の太さ,工程線の色,工程線の背景色,工程線の斜行,タグ,項目ID（中間ノード）,中間ノード日付,中間ノード色,中間ノード大きさ,中間ノード形状
vhzwsqym1bbxjba1wzv56otr,C2,,,,vhzwsqym1bbxjba1wzv56otr,C2,bpu1c9j31oy0l3t0ejaasr8y,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameLowerRight"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""C2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""uoztbyzj2q1rxi7tbx9gpczl"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",17,17,2026-09-19T00:00:00+09:00,2026-09-25T23:59:59+09:00,,7,2,0,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""vzo16fd1pf8yvzooqccn2cz0"",""dependency"":""SF""}]","[{""id"":""f3m0ajg94pgnrppjx9y89c0p"",""dependency"":""FS""}]",,,,,crank,arrow,,,#56bc6d,,,,,,,,
o4f1b1crml4zvxnw823ce06d,D2,,,,ggcm1mfeubebv8mmmida74kb,D3,ugy4sphon1sz8n5udbza6ozz,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""u4z17nepcitykhrzs6963rxw"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",29,24,2026-09-26T00:00:00+09:00,2026-09-28T23:59:59+09:00,,3,1,0,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""kxns99694trihve026c89fzq"",""dependency"":""SF""}]","[{""id"":""t00an4117fvj98tp203tgn4s"",""dependency"":""FS""}]",,,,,gate,arrow,,,#f9df70,,,,ggcm1mfeubebv8mmmida74kb,2026-09-29T00:00:00+09:00,,,
ggcm1mfeubebv8mmmida74kb,D3,,,,msx8cqqmy2pdhav4ajm1vi34,,t00an4117fvj98tp203tgn4s,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D4"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""iajsgusld8jrig08kcqb5ylg"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",24,26,2026-09-29T00:00:00+09:00,2026-10-02T23:59:59+09:00,,4,4,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""ugy4sphon1sz8n5udbza6ozz"",""dependency"":""SF""}]","[{""id"":""hlb7z0icyjst6kbyqhsk2sik"",""dependency"":""FS""}]",,,,,gate,arrow,dash,,#f9df70,,,,kud57bg6wuyw69gfbmv0h1kb,2026-10-03T00:00:00+09:00,,,
vhzwsqym1bbxjba1wzv56otr,C2,,,,o4zfl12n7jvra0ukkjqauvy6,,f3m0ajg94pgnrppjx9y89c0p,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""C3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""vy2tqja7a3ii4ig8g4peemtg"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",17,22,2026-09-26T00:00:00+09:00,2026-10-02T23:59:59+09:00,,7,5,0,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""bpu1c9j31oy0l3t0ejaasr8y"",""dependency"":""SF""}]",,,,,,crank,none,,,#56bc6d,,true,,,,,,
msx8cqqmy2pdhav4ajm1vi34,,,,,a12f2dz130g40ygug55u4dqi,,hlb7z0icyjst6kbyqhsk2sik,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D5"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""j76rmyvpvs9igofgagb5no2h"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",26,30,2026-10-03T00:00:00+09:00,2026-10-08T23:59:59+09:00,,6,4,0,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""t00an4117fvj98tp203tgn4s"",""dependency"":""SF""}]",,,,,,gate,none,,,#eb473d,,,,okh8dqpesn4mpwxtf563sgds,2026-10-09T00:00:00+09:00,,,
ir35ssv3gi7ma0hhvp66m66s,バー１,,,,ir35ssv3gi7ma0hhvp66m66s,バー１,bc932lgd0bvzc2rzqla02v79,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""boxNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""バー１"",""namePositionCoefficient"":{""x"":0,""y"":0},""namePosition"":{""x"":0,""y"":0},""id"":""kbo3z5isd07brrtbty9ka87e"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",37,37,2026-09-07T00:00:00+09:00,2026-09-11T23:59:59+09:00,,5,5,0,0,,,none,,,none,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boxS,arrow,,,#8455f6,,,,,,,,
ffjiiigzaqdu25j9hlifdtgs,D1,,,,o4f1b1crml4zvxnw823ce06d,D2,kxns99694trihve026c89fzq,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""D2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""yy8hc1x29ipjz9x5zppt962k"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",25,29,2026-09-19T00:00:00+09:00,2026-09-25T23:59:59+09:00,,7,2,0,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""dk8trfwvr4zzrgf6eph3zp81"",""dependency"":""SF""}]","[{""id"":""ugy4sphon1sz8n5udbza6ozz"",""dependency"":""FS""}]",,,,,gate,arrow,,2.5,#f9df70,,,,o4f1b1crml4zvxnw823ce06d,2026-09-26T00:00:00+09:00,,,
lu745rf3zh0k8jtqbatleddb,B1/B2,,,,d34vxldjuubzaf7rp9zm9ryn,B3,k1aj014iomirmgxghw4mx34c,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""XS"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""B2"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""o4km2eu60seze6zvm4athkw8"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",11,14,2026-09-15T00:00:00+09:00,2026-09-18T23:59:59+09:00,,4,4,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""uey9htvf2ij2zetnm3fc0ze6"",""dependency"":""SF""}]","[{""id"":""jgkbr61byrlqgda3nwzskdhm"",""dependency"":""FS""}]",,,,,xElbow,arrow,,1,#1d49a7,,true,,,,,,
d34vxldjuubzaf7rp9zm9ryn,B3,,,,lu745rf3zh0k8jtqbatleddb,B1/B2,jgkbr61byrlqgda3nwzskdhm,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""M"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""B3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""lm7rnonv7wwfcioxysjy69e9"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",14,11,2026-09-19T00:00:00+09:00,2026-09-25T23:59:59+09:00,,7,2,0,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""k1aj014iomirmgxghw4mx34c"",""dependency"":""SF""}]",,,,,,xElbow,arrow,,,#1d49a7,,,,,,,,
ajbni5lredw97ufu3sr8kiak,A2,,,,c59g6qq0b3sb4doig3bwe4ft,A3,rf5s48r5wvaqo8w3u2mc2ie0,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""A3"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""ob65o65jie7fhn2kmbw2vaa0"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",5,9,2026-09-19T00:00:00+09:00,2026-09-28T23:59:59+09:00,,10,3,0,7,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""nsrz7bcx8yxxrv8k3qc4i6mk"",""dependency"":""SF""}]",,,,,,yElbow,arrow,,,#ec635e,,,,,,,,
ldvdwxv5ol19btdxxuatqtka,,,,,vhzwsqym1bbxjba1wzv56otr,C2,vzo16fd1pf8yvzooqccn2cz0,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNamePositionFree"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""C1"",""namePositionCoefficient"":{""x"":3.0084740590240995,""y"":-0.4333343505859375},""namePosition"":{""x"":118.33331298828125,""y"":-6.66668701171875},""id"":""y0ov3j6q6cjshwhzbi5g94qc"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",21,17,2026-09-07T00:00:00+09:00,2026-09-18T23:59:59+09:00,,12,10,0,2,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""bpu1c9j31oy0l3t0ejaasr8y"",""dependency"":""FS""}]","sxfolw27hcihztf0j6w4sslv","関係１",,,crank,arrow,,,#56bc6d,,,,,,,,
lu745rf3zh0k8jtqbatleddb,B1/B2,,,,lu745rf3zh0k8jtqbatleddb,B1/B2,uey9htvf2ij2zetnm3fc0ze6,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""XL"",""namePositionWithinOptions"":""lineNameUpperCenter"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""B1"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""vreqg4as0jgszf5t7p8z9qso"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",11,11,2026-09-07T00:00:00+09:00,2026-09-14T23:59:59+09:00,,8,6,0,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""k1aj014iomirmgxghw4mx34c"",""dependency"":""FS""}]",,,,,xElbow,arrow,,2.5,#1d49a7,,,,,,,,
aqj3sg05mc7iiutye30d3hxz,A1,,,,aqj3sg05mc7iiutye30d3hxz,A1,u1plk0lkn7gwl6gi62j8ny0n,,"[{""showContentsDaysWithLineBreak"":""contentsDaysWithLineBreakOff"",""textSize"":""L"",""namePositionWithinOptions"":""lineNameUpperLeft"",""nameColor"":""#000000"",""showTotalDays"":""totalDaysOff"",""showNameOnLine"":true,""showWorkingDays"":""workingDaysOff"",""name"":""A1"",""namePositionCoefficient"":{""x"":0,""y"":-0.1},""namePosition"":{""x"":0,""y"":0},""id"":""mqjjomvpoq1wfl2i7jwa9ynk"",""nameBold"":false,""showLeaderLine"":false,""nameAlignment"":""center"",""nameWritingMode"":""textHorizontal""}]",8,8,2026-09-07T00:00:00+09:00,2026-09-14T23:59:59+09:00,,8,6,0,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""id"":""nsrz7bcx8yxxrv8k3qc4i6mk"",""dependency"":""FS""}]",,,,,yElbow,arrow,,,#ec635e,,,,,,,,
